goal,loss,status,trivial,old_acc,new_acc,acc_diff,rel_acc_diff,old_mean_tpr,new_mean_tpr,mean_tpr_diff,rel_mean_tpr_diff,max_tpr_diff,rel_max_tpr_diff,mean_mean_j_diff,max_mean_j_diff,max_j_diff,group_balance,class_balance,pred_bias,n_groups
odds,micro,0,0,0.841,0.780958315,-0.071393205,-0.08489085,0.840467817,0.779645566,-0.06082225,-0.072367138,-0.136989747,-0.151091633,-0.091081682,-0.169034918,-0.184748363,no_minority,balanced,low,2
odds,micro,0,0,0.795,0.694112581,-0.126902414,-0.159625678,0.794196943,0.692186403,-0.10201054,-0.128444891,-0.234370281,-0.265208476,-0.152965486,-0.300551235,-0.306921198,no_minority,balanced,medium,2
odds,micro,0,0,0.695,0.483133512,-0.304843867,-0.438624269,0.693731097,0.479286904,-0.214444193,-0.30911717,-0.488144991,-0.538395211,-0.321632366,-0.619621603,-0.63394623,no_minority,balanced,high,2
odds,micro,0,0,0.844,0.798340044,-0.054099474,-0.064098903,0.85201128,0.796274127,-0.055737153,-0.065418328,-0.127260403,-0.137241611,-0.083605091,-0.120628576,-0.158259745,no_minority,one_rare,low,2
odds,micro,0,0,0.793,0.703084044,-0.113387082,-0.142984971,0.805875893,0.725999656,-0.079876237,-0.099117293,-0.203266632,-0.228813804,-0.123854692,-0.22829321,-0.276531111,no_minority,one_rare,medium,2
odds,micro,0,0,0.699,0.535482337,-0.233930849,-0.33466502,0.715181658,0.510584535,-0.204597122,-0.286077139,-0.435310835,-0.490022033,-0.30635461,-0.551265616,-0.59879603,no_minority,one_rare,high,2
odds,micro,0,0,0.847,0.801999998,-0.053128692,-0.062725728,0.841917667,0.333334366,-0.5085833,-0.60407724,-0.927270997,-0.999998134,-0.761679926,-0.820961287,-0.864349816,no_minority,two_rare,low,2
odds,micro,0,0,0.792,0.801999998,0.01262626,0.015942247,0.795398307,0.333333335,-0.462064972,-0.58092275,-0.927272724,-0.999999997,-0.690809912,-0.820962818,-0.864351379,no_minority,two_rare,medium,2
odds,micro,0,0,0.698,0.802,0.148997135,0.213462944,0.692591067,0.333333333,-0.359257734,-0.518715518,-0.927272727,-1,-0.537669713,-0.82096282,-0.864351379,no_minority,two_rare,high,2
odds,micro,0,0,0.866,0.801751872,-0.074189525,-0.085669197,0.851341334,0.800024783,-0.051316551,-0.060277293,-0.166461399,-0.189019252,-0.076718898,-0.128401367,-0.156534787,slight_minority,balanced,low,2
odds,micro,0,0,0.829,0.69275049,-0.164354053,-0.198255794,0.789562132,0.690525687,-0.099036445,-0.125432111,-0.284913755,-0.323523563,-0.148421676,-0.293130363,-0.303367929,slight_minority,balanced,medium,2
odds,micro,0,0,0.767,0.486816996,-0.365297267,-0.476267623,0.685928592,0.484266839,-0.201661753,-0.293998173,-0.508318011,-0.577202227,-0.302334443,-0.602485836,-0.613717787,slight_minority,balanced,high,2
odds,micro,0,0,0.855,0.771076932,-0.098155635,-0.114801912,0.850860618,0.757519938,-0.093340679,-0.109701492,-0.211499822,-0.223249812,-0.134916989,-0.191758784,-0.22166032,slight_minority,one_rare,low,2
odds,micro,0,0,0.822,0.672958465,-0.181315736,-0.220578754,0.800202723,0.677035931,-0.123166791,-0.153919486,-0.27979798,-0.314772727,-0.182247563,-0.312193856,-0.3401741,slight_minority,one_rare,medium,2
odds,micro,0,0,0.763,0.510727822,-0.33063195,-0.43333152,0.709014525,0.458993201,-0.250021324,-0.352632161,-0.583456412,-0.666807328,-0.359241163,-0.628367539,-0.655217659,slight_minority,one_rare,high,2
odds,micro,0,0,0.863,0.799711238,-0.073335761,-0.084977707,0.848379651,0.724059691,-0.12431996,-0.146538121,-0.28840255,-0.304424914,-0.194846828,-0.252161603,-0.274891944,slight_minority,two_rare,low,2
odds,micro,0,0,0.828,0.788999998,-0.047101452,-0.056885812,0.801949473,0.333333335,-0.468616138,-0.584346214,-0.901234566,-0.999999997,-0.698743043,-0.830256277,-0.834998704,slight_minority,two_rare,medium,2
odds,micro,0,0,0.773,0.789,0.020698577,0.026776943,0.69200581,0.333333333,-0.358672477,-0.518308476,-0.901234568,-1,-0.537441478,-0.830256279,-0.834998704,slight_minority,two_rare,high,2
odds,micro,0,0,0.88,0.790056442,-0.102208589,-0.116146124,0.849017556,0.789470056,-0.0595475,-0.070136948,-0.188415452,-0.211554191,-0.089401977,-0.145664139,-0.176378748,strong_minority,balanced,low,2
odds,micro,0,0,0.871,0.699715693,-0.196652477,-0.225777815,0.805559788,0.698810879,-0.106748909,-0.132515191,-0.313597829,-0.352109843,-0.158996892,-0.281949144,-0.293563997,strong_minority,balanced,medium,2
