lsat,gpa,race,resident,college,year,gender,admit,black,hispanic,asian,white,missing_race,urm,enroll
151.0,3.94,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,enroll
157.0,3.66,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,0
156.0,3.28,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,0
151.0,3.56,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
147.0,2.09,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
158.0,3.38,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
149.0,3.79,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
142.0,3.63,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
161.0,3.72,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,0
156.0,3.13,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
157.0,2.73,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
144.0,3.12,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
152.0,3.32,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
152.0,3.58,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
163.0,3.57,White,0.0,Nevada Las Vegas,2006,1.0,1.0,0,0,0,1,0,0,0
168.0,2.41,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
145.0,3.18,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
168.0,3.14,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
157.0,3.11,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
159.0,3.93,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
153.0,3.08,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,0
157.0,3.71,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
146.0,2.28,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
152.0,3.44,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
153.0,2.79,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
158.0,3.5,White,0.0,Nevada Las Vegas,2006,0.0,1.0,0,0,0,1,0,0,0
163.0,3.52,White,0.0,Nevada Las Vegas,2006,1.0,1.0,0,0,0,1,0,0,0
151.0,3.62,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
157.0,3.18,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
152.0,2.86,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,0
142.0,3.2,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
156.0,3.31,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
135.0,3.18,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
151.0,2.79,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
159.0,3.54,White,0.0,Nevada Las Vegas,2006,0.0,0.0,0,0,0,1,0,0,
154.0,3.02,White,0.0,Nevada Las Vegas,2006,1.0,0.0,0,0,0,1,0,0,
