Gender,Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS,NObeyesdad,weight_cat,y,yhat,a
Female,21.0,1.62,64.0,yes,no,2.0,3.0,Sometimes,no,2.0,no,0.0,1.0,no,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Overweight_Level_II,Female
Female,21.0,1.52,56.0,yes,no,3.0,3.0,Sometimes,yes,3.0,yes,3.0,0.0,Sometimes,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Female
Male,23.0,1.8,77.0,yes,no,2.0,3.0,Sometimes,no,2.0,no,2.0,1.0,Frequently,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Overweight_Level_II,Male
Male,27.0,1.8,87.0,no,no,3.0,3.0,Sometimes,no,2.0,no,2.0,0.0,Frequently,Walking,Overweight_Level_I,Overweight_Level_I,Overweight_Level_I,Normal_Weight,Male
Male,22.0,1.78,89.8,no,no,2.0,1.0,Sometimes,no,2.0,no,0.0,0.0,Sometimes,Public_Transportation,Overweight_Level_II,Overweight_Level_II,Overweight_Level_II,Normal_Weight,Male
Male,29.0,1.62,53.0,no,yes,2.0,3.0,Sometimes,no,2.0,no,0.0,0.0,Sometimes,Automobile,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Male
Female,23.0,1.5,55.0,yes,yes,3.0,3.0,Sometimes,no,2.0,no,1.0,0.0,Sometimes,Motorbike,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Female
Male,22.0,1.64,53.0,no,no,2.0,3.0,Sometimes,no,2.0,no,3.0,0.0,Sometimes,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Male
Male,24.0,1.78,64.0,yes,yes,3.0,3.0,Sometimes,no,2.0,no,1.0,1.0,Frequently,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Overweight_Level_II,Male
Male,22.0,1.72,68.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,1.0,1.0,no,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Obesity_Type_I,Male
Male,26.0,1.85,105.0,yes,yes,3.0,3.0,Frequently,no,3.0,no,2.0,2.0,Sometimes,Public_Transportation,Obesity_Type_I,Obesity_Type_I,Obesity_Type_I,Normal_Weight,Male
Female,21.0,1.72,80.0,yes,yes,2.0,3.0,Frequently,no,2.0,yes,2.0,1.0,Sometimes,Public_Transportation,Overweight_Level_II,Overweight_Level_II,Overweight_Level_II,Normal_Weight,Female
Male,22.0,1.65,56.0,no,no,3.0,3.0,Sometimes,no,3.0,no,2.0,0.0,Sometimes,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Male
Male,41.0,1.8,99.0,no,yes,2.0,3.0,Sometimes,no,2.0,no,2.0,1.0,Frequently,Automobile,Obesity_Type_I,Obesity_Type_I,Obesity_Type_I,Overweight_Level_I,Male
Male,23.0,1.77,60.0,yes,yes,3.0,1.0,Sometimes,no,1.0,no,1.0,1.0,Sometimes,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Overweight_Level_II,Male
Female,22.0,1.7,66.0,yes,no,3.0,3.0,Always,no,2.0,yes,2.0,1.0,Sometimes,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Female
Male,27.0,1.93,102.0,yes,yes,2.0,1.0,Sometimes,no,1.0,no,1.0,0.0,Sometimes,Public_Transportation,Overweight_Level_II,Overweight_Level_II,Overweight_Level_II,Overweight_Level_II,Male
Female,29.0,1.53,78.0,no,yes,2.0,1.0,Sometimes,no,2.0,no,0.0,0.0,no,Automobile,Obesity_Type_I,Obesity_Type_I,Obesity_Type_I,Normal_Weight,Female
Female,30.0,1.71,82.0,yes,yes,3.0,4.0,Frequently,yes,1.0,no,0.0,0.0,no,Automobile,Overweight_Level_II,Overweight_Level_II,Overweight_Level_II,Insufficient_Weight,Female
Female,23.0,1.65,70.0,yes,no,2.0,1.0,Sometimes,no,2.0,no,0.0,0.0,Sometimes,Public_Transportation,Overweight_Level_I,Overweight_Level_I,Overweight_Level_I,Overweight_Level_II,Female
Male,22.0,1.65,80.0,yes,no,2.0,3.0,Sometimes,no,2.0,no,3.0,2.0,no,Walking,Overweight_Level_II,Overweight_Level_II,Overweight_Level_II,Obesity_Type_I,Male
Female,52.0,1.69,87.0,yes,yes,3.0,1.0,Sometimes,yes,2.0,no,0.0,0.0,no,Automobile,Obesity_Type_I,Obesity_Type_I,Obesity_Type_I,Obesity_Type_I,Female
Female,22.0,1.65,60.0,yes,yes,3.0,3.0,Sometimes,no,2.0,no,1.0,0.0,Sometimes,Automobile,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Female
Female,22.0,1.6,82.0,yes,yes,1.0,1.0,Sometimes,no,2.0,no,0.0,2.0,Sometimes,Public_Transportation,Obesity_Type_I,Obesity_Type_I,Obesity_Type_I,Obesity_Type_I,Female
Male,21.0,1.85,68.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,0.0,1.0,Sometimes,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Obesity_Type_I,Male
Male,20.0,1.6,50.0,yes,no,2.0,4.0,Frequently,yes,2.0,no,3.0,2.0,no,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Male
Male,21.0,1.7,65.0,yes,yes,2.0,1.0,Frequently,no,2.0,no,1.0,2.0,Always,Walking,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Male
Female,23.0,1.6,52.0,no,yes,2.0,4.0,Frequently,no,2.0,no,2.0,1.0,Sometimes,Automobile,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Female
Male,19.0,1.75,76.0,yes,yes,3.0,3.0,Sometimes,no,2.0,yes,3.0,1.0,Sometimes,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Overweight_Level_I,Male
Male,23.0,1.68,70.0,no,yes,2.0,3.0,Sometimes,no,2.0,no,2.0,2.0,Frequently,Walking,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Male
Male,29.0,1.77,83.0,no,yes,1.0,4.0,Frequently,no,3.0,no,0.0,1.0,no,Motorbike,Overweight_Level_I,Overweight_Level_I,Overweight_Level_I,Normal_Weight,Male
Female,31.0,1.58,68.0,yes,no,2.0,1.0,Sometimes,no,1.0,no,1.0,0.0,Sometimes,Public_Transportation,Overweight_Level_II,Overweight_Level_II,Overweight_Level_II,Overweight_Level_II,Female
Female,24.0,1.77,76.0,no,no,2.0,3.0,Sometimes,no,3.0,no,1.0,1.0,Sometimes,Walking,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Female
Male,39.0,1.79,90.0,no,no,2.0,1.0,Sometimes,no,2.0,no,0.0,0.0,Sometimes,Public_Transportation,Overweight_Level_II,Overweight_Level_II,Overweight_Level_II,Overweight_Level_II,Male
Male,22.0,1.65,62.0,no,yes,2.0,4.0,Frequently,no,2.0,no,2.0,0.0,Sometimes,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Male
Female,21.0,1.5,65.0,yes,no,2.0,3.0,Sometimes,no,2.0,no,2.0,2.0,Sometimes,Public_Transportation,Overweight_Level_II,Overweight_Level_II,Overweight_Level_II,Overweight_Level_II,Female
Female,22.0,1.56,49.0,no,yes,2.0,3.0,Sometimes,no,1.0,yes,2.0,0.0,no,Walking,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Female
Female,21.0,1.6,48.0,no,yes,2.0,3.0,Sometimes,no,1.0,no,1.0,0.0,Sometimes,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Female
Male,23.0,1.65,67.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,1.0,1.0,Sometimes,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Obesity_Type_I,Male
Female,21.0,1.75,88.0,yes,yes,2.0,3.0,Sometimes,no,3.0,no,3.0,0.0,Sometimes,Public_Transportation,Overweight_Level_II,Overweight_Level_II,Overweight_Level_II,Overweight_Level_I,Female
Female,21.0,1.67,75.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,1.0,0.0,Sometimes,Public_Transportation,Overweight_Level_I,Overweight_Level_I,Overweight_Level_I,Overweight_Level_I,Female
Male,23.0,1.68,60.0,no,no,2.0,4.0,Frequently,no,2.0,no,0.0,0.0,no,Walking,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Male
Female,21.0,1.66,64.0,yes,yes,1.0,3.0,Sometimes,no,1.0,no,0.0,0.0,no,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Obesity_Type_I,Female
Male,21.0,1.66,62.0,yes,yes,2.0,3.0,Sometimes,yes,2.0,no,1.0,1.0,Frequently,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Overweight_Level_I,Male
Male,21.0,1.81,80.0,no,no,1.0,3.0,no,no,2.0,no,2.0,0.0,no,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Male
Female,21.0,1.53,65.0,yes,no,2.0,3.0,Sometimes,no,1.0,no,0.0,1.0,no,Public_Transportation,Overweight_Level_II,Overweight_Level_II,Overweight_Level_II,Overweight_Level_II,Female
Male,21.0,1.82,72.0,yes,yes,1.0,3.0,Frequently,no,3.0,no,2.0,0.0,Sometimes,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Male
Male,21.0,1.75,72.0,yes,yes,1.0,3.0,Frequently,no,3.0,no,2.0,0.0,Sometimes,Public_Transportation,Normal_Weight,Normal_Weight,Normal_Weight,Normal_Weight,Male
