,coef,lower,upper
Intercept,-0.19663931530246906,-0.24916410843720185,-0.14411452216773626
loss[T.micro],0.07783396528395063,0.040693327877960504,0.11497460268994075
goal[T.opportunity],0.018628696166666705,-0.026859109016534367,0.06411650134986778
goal[T.strict],0.016808357740740756,-0.028679447442460336,0.06229616292394185
class_balance[T.one_rare],-0.003256271648148189,-0.04874407683134926,0.042231533535052886
class_balance[T.two_rare],0.08256013994444437,0.037072334761243324,0.12804794512764542
group_balance[T.slight_minority],-0.052931906574074046,-0.09841971175727507,-0.007444101390873016
group_balance[T.strong_minority],-0.09606437035185184,-0.1415521755350529,-0.050576565168650785
Intercept,-0.2526898501722219,-0.2867956828472486,-0.21858401749719517
loss[T.micro],0.09973030804074089,0.07815988549080534,0.12130073059067643
goal[T.opportunity],0.06547128170555519,0.03905301731377209,0.09188954609733829
goal[T.strict],0.06354078001111073,0.037122515619327695,0.08995904440289376
class_balance[T.one_rare],0.022716986627777738,-0.003701277764005341,0.049135251019560816
class_balance[T.two_rare],0.06757529472222211,0.04115703033043909,0.09399355911400513
group_balance[T.one_slight_minority],-0.03279272494444438,-0.06689855761947108,0.0013131077305823247
group_balance[T.one_strong_minority],-0.042937115055555475,-0.07704294773058218,-0.008831282380528771
group_balance[T.two_slight_minorities],-0.0562034937037037,-0.09030932637873043,-0.022097661028676975
group_balance[T.two_strong_minorities],-0.09217910634259255,-0.12628493901761925,-0.058073273667565845
