,coef,lower,upper
Intercept,1.2600268301481479,1.1987372047262501,1.3213164555700456
loss[T.micro],-0.17881887023456788,-0.2221571799867751,-0.13548056048236068
goal[T.opportunity],0.02386644448148121,-0.02921192812231472,0.07694481708527715
goal[T.strict],0.015206416111111107,-0.03787195649268484,0.06828478871490706
class_balance[T.one_rare],-0.11586606598148162,-0.16894443858527755,-0.0627876933776857
class_balance[T.two_rare],-0.21851616175925934,-0.27159453436305525,-0.16543778915546342
group_balance[T.slight_minority],0.008323177074073883,-0.044755195529722,0.061401549677869774
group_balance[T.strong_minority],0.02672970440740722,-0.02634866819638869,0.07980807701120313
Intercept,1.2328327223629612,1.1880474401702636,1.2776180045556587
loss[T.micro],-0.1896066443666672,-0.21793134384312798,-0.1612819448902064
goal[T.opportunity],0.043376282261113314,0.008685751843609861,0.07806681267861676
goal[T.strict],0.022538993750002435,-0.012151536667500934,0.057229524167505805
class_balance[T.one_rare],-0.07210800540555519,-0.10679853582305862,-0.03741747498805176
class_balance[T.two_rare],-0.2530056711166661,-0.28769620153416947,-0.21831514069916275
group_balance[T.one_slight_minority],-0.01954695923148142,-0.06433224142417887,0.025238322961216038
group_balance[T.one_strong_minority],-0.023214548037036983,-0.06799983022973444,0.021570734155660475
group_balance[T.two_slight_minorities],-0.030657339379629507,-0.075442621572327,0.014127942813067985
group_balance[T.two_strong_minorities],-0.030543318740740982,-0.07532860093343843,0.014241963451956476
