,coef,lower,upper
Intercept,1.6171801453148145,1.4748352559038742,1.7595250347257547
loss[T.micro],-0.23405696061728395,-0.3347099971870089,-0.133403924047559
goal[T.opportunity],0.03327575231481454,-0.08999853801394632,0.15655004264357542
goal[T.strict],0.023354837981481885,-0.09991945234727902,0.14662912831024277
class_balance[T.one_rare],-0.20846452503703713,-0.33173881536579797,-0.08519023470827627
class_balance[T.two_rare],-0.2671578110000001,-0.3904321013287609,-0.14388352067123927
group_balance[T.slight_minority],0.02047241181481459,-0.10280187851394615,0.14374670214357532
group_balance[T.strong_minority],0.07668854598148124,-0.04658574434727955,0.19996283631024203
Intercept,1.6022590238481462,1.5203667273391872,1.6841513203571052
loss[T.micro],-0.25264558884074134,-0.30443882479877454,-0.20085235288270814
goal[T.opportunity],0.059517915161113946,-0.003915584951261805,0.1229514152734897
goal[T.strict],0.033378255066670234,-0.03005524504570535,0.09681175517904582
class_balance[T.one_rare],-0.11586612128333293,-0.17929962139570865,-0.05243262117095722
class_balance[T.two_rare],-0.2936398041722215,-0.3570733042845971,-0.23020630405984593
group_balance[T.one_slight_minority],0.007923940777777826,-0.07396835573118116,0.08981623728673682
group_balance[T.one_strong_minority],-0.02425805046296281,-0.1061503469719218,0.05763424604599618
group_balance[T.two_slight_minorities],-0.005623669629629523,-0.08751596613858859,0.07626862687932953
group_balance[T.two_strong_minorities],-0.01805361612037073,-0.09994591262932973,0.06383868038858828
