hyperparameter&change in acc (CI)&change in tpr (CI)
intercept&-0.076 (-0.127, -0.025)&-0.14 (-0.183, -0.098)
loss.macro&-0.091 (-0.121, -0.06)&0.103 (0.078, 0.129)
goal.parity&0.197 (0.154, 0.241)&0.174 (0.137, 0.21)
goal.opportunity&0.023 (-0.02, 0.067)&0.015 (-0.021, 0.051)
goal.strict&0.021 (-0.022, 0.065)&0.008 (-0.028, 0.044)
group_balance.slight_minority&-0.048 (-0.085, -0.01)&0.009 (-0.022, 0.04)
group_balance.strong_minority&-0.069 (-0.107, -0.031)&0.003 (-0.028, 0.035)
class_balance.one_rare&-0.005 (-0.043, 0.032)&-0.045 (-0.076, -0.013)
class_balance.two_rare&0.075 (0.038, 0.113)&-0.141 (-0.173, -0.11)
pred_bias.high&-0.2 (-0.238, -0.163)&-0.184 (-0.215, -0.153)
pred_bias.medium&-0.062 (-0.1, -0.025)&-0.085 (-0.116, -0.053)
&nan (nan, nan)&nan (nan, nan)
intercept&-0.134 (-0.173, -0.094)&-0.179 (-0.209, -0.149)
loss.macro&-0.114 (-0.133, -0.094)&0.119 (0.104, 0.134)
goal.parity&0.244 (0.216, 0.271)&0.205 (0.183, 0.226)
goal.opportunity&0.081 (0.053, 0.109)&0.029 (0.008, 0.05)
goal.strict&0.079 (0.051, 0.107)&0.015 (-0.006, 0.036)
group_balance.one_slight_minority&-0.029 (-0.06, 0.002)&-0.015 (-0.039, 0.008)
group_balance.one_strong_minority&-0.035 (-0.066, -0.004)&-0.008 (-0.032, 0.015)
group_balance.two_slight_minorities&-0.049 (-0.08, -0.018)&-0.016 (-0.04, 0.008)
group_balance.two_strong_minorities&-0.074 (-0.105, -0.043)&-0.011 (-0.035, 0.012)
class_balance.one_rare&0.02 (-0.004, 0.044)&-0.041 (-0.06, -0.023)
class_balance.two_rare&0.066 (0.042, 0.09)&-0.184 (-0.203, -0.166)
pred_bias.high_one&-0.183 (-0.217, -0.149)&-0.163 (-0.188, -0.137)
pred_bias.high_two&-0.153 (-0.187, -0.119)&-0.132 (-0.158, -0.106)
pred_bias.low_two&0.004 (-0.03, 0.038)&-0.003 (-0.029, 0.023)
pred_bias.medium_one&-0.057 (-0.091, -0.023)&-0.059 (-0.084, -0.033)
pred_bias.medium_two&-0.037 (-0.071, -0.003)&-0.056 (-0.082, -0.03)
